Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
This musical centers on the feud between farmers and sheep herders in the Mid West.,Oklahoma,1,Oklahoma,Music Man,Will Rogers Follies,Love on the Prairie
"Jason Bournes girlfriend from the first two Bourne movies starring Matt Damon, does not appear in The Bourne Ultimatum.",True,2,False,True,N/A,N/A
"Which musician holds a patent for an electronic device that helps a composer, a musician, or a conductor to interactively select parts of a musical score?","Harry Connick, Jr.",2,Darryl The Captain Dragon,"Harry Connick, Jr.",Henry Mancini,Johnny Mercer
This 1972 album was John Lennons third post-Beatles album and the fifth one recorded with Yoko Ono.,Some Time In New York City,1,Some Time In New York City,John Lennon/ Plastic Ono Band,Mind Games,Imagine
"In the film Fletch, Alan Stanwyk persuades Fletch to kill him by telling him that he is dying of cancer and wants to avoid a slow painful death. Fletch agrees to kill Alan for how much?","$50,000",3,"$5,000","$10,000","$50,000","$100,000"
Was Rappers Delight the first hip hop single ever to be released?,No,2,Yes,No,N/A,N/A
Two of the members of short-lived indie band The Jennifers later formed this famous alternative group.,Supergrass,2,Echo  the Bunnymen,Supergrass,Echobelly,Dodgy
"In the comedy film Office Space, what was the name of the favorite show that Peter and Joanna enjoyed watching together while they were dating?",Kung Fu,2,The Incredible Hulk,Kung Fu,The A-Team,Happy Days
Which movie is the following tag line from:  Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,2,Bridge On The River Kwai,The Shawshank Redemption,Papillion,Escape From Alcatraz
On what Mediterranean island did the Minoan civilization arise?,Crete,3,Cyprus,Corsica,Crete,Corfu
"In the movie The Great Escape, the Manufacturer was the code name of Louis Sedgwick, played by James Coburn.",True,2,False,True,N/A,N/A
What song by The Beatles was a #1 hit on the U.S. charts in 1968?,Hey Jude,3,Long And Winding Road,Paperback Writer,Hey Jude,Satisfaction
"Name the Dusty Springfield song that contains the lyrics, Being good isnt always easy, no matter how hard i try.",Son of a Preacher Man,4,All Cried Out,Nothing Is Forever,I Wish Id Never Loved You,Son of a Preacher Man
How many Academy Awards did the 1939 film Gone with the Wind win out of 13 nominations?,Ten,1,Ten,Two,None,Five
"Josh Lucas, who plays Melanies husband Jake in Sweet Home Alabama, was part of the cast of Poseidon, in which Stacey Fergie Ferguson makes a cameo as a lounge singer. In 2004, Fergie started dating what other famous Josh?",Josh Duhamel,2,Josh Turner,Josh Duhamel,Josh Peck,Joshua Jackson
Which Wayans brothers teamed up for the 2004 movie White Chicks?,Marlon and Shawn,4,Keenen and Dwayne,Damon and Keenen,Shawn and Damon,Marlon and Shawn
In which state did the first circus building in the USA open in 1793?,Pennsylvania,1,Pennsylvania,California,Illinois,Oklahoma
How many episodes of The Magnificent Seven series were made?,23,3,20,30,23,25
"By the time Nicholas II was crowned tsar in 1896, the Russian Empire was the largest country in the world.",True,2,False,True,N/A,N/A
What is the name of Amy Winehouses signature hairstyle which has been often spoofed and copied?,Beehive,2,Mortitia Addams,Beehive,Turtle,60s updo
Peter Framptons incredible 1976 album Frampton Comes Alive featured the hit songs Do You Feel Like We Do? and Show Me the Way and made him a bona fide stadium-filling arena rocker. What band was he a member of before going solo?,Humble Pie,1,Humble Pie,Vanilla Fudge,The Easybeats,King Crimson
"Peg and Josie are both tracks from the 1977 album, Aja, by this rock group.",Steely Dan,3,Foghat,Supertramp,Steely Dan,Steve Miller Band
What is the favorite sport of singer Chris Brown?,Basketball,4,baseball,soccer,football,Basketball
Donna Fargo was best known for what signature song from 1972?,The Happiest Girl In the Whole USA,1,The Happiest Girl In the Whole USA,Satin Sheets,Funny Face,Superman
What 1982 courtroom drama movie stars Paul Newman as alcoholic lawyer Frank Galvin.,The Verdict,3,The Firm,The Case,The Verdict,The Juror
During what period did the band Malice Mizer produce music?,1992 - 2001,4,1990 - 2001,1992 - 2002,1990 - 2000,1992 - 2001
"The lyrics And I wish to you joy and happiness, but above all this i wish to you love are from this Whitney Houston song.",I Will Always Love You,4,My Love is Your Love,I Have Nothing,Im Every Woman,I Will Always Love You
"Shakespeares theater, The Globe, was destroyed by fire in 1613. Which Queen saw its reopening?",Elisabeth II,4,Elisabeth I,Anne,Victoria,Elisabeth II
What are Chuck Nolands last words to his fiancee when he gets on the plain at the beginning of the movie Cast Away?,Ill be right back!,2,I hope this plane doesnt go down.,Ill be right back!,Marry me when I come back!,Do not forget me!
Which of these French actresses stars in the Public Enemies movie from 2009 as criminal John Dillingers love interest?,Marion Cotillard,3,Ludivine Sagnier,Hafsia Herzi,Marion Cotillard,Emmanuelle Seigner
Which of these countries is smallest (by territory)?,San Marino,3,Seychelles,Liechtenstein,San Marino,Marshall Islands
What was the name of the hard rock band formed by lawyer Steve Dallas in the Bloom County comic strip?,Deathtongue,2,The Raiders,Deathtongue,Opus and the Orangeheads,Billy and the Boingers
One of these cities has been Japans capital in the past.,Kyoto,1,Kyoto,Yokohama,Hiroshima,Osaka
What is the title of the short story on which the movie Memento is based?,Memento Mori,4,Learn to Forget,Lost Memories,Remember Death,Memento Mori
The original version of Cape Fear was released in 1962.,True,1,True,False,N/A,N/A
Who started the movement of Protestant Reformation in Europe?,Martin Luther,1,Martin Luther,John Calvin,Erasmus,Ulrich Zwingli
"They may have driven every kind of rig thats ever been made been made from Tucson to Tucumcari but if you give them  weed, whites and wine. What is the name of the group, according to lead singer Lowell George, that will be Willin?",Little Feat,1,Little Feat,Marshall Tucker Band,The Allman Brothers,The Dixie Chickens
"What country artist performed the song Red Lips, Blue Eyes, Little White Lies in 1998?",Gary Allan,3,Tracy Byrd,Mark Chesnut,Gary Allan,Toby Keith
The AAT appears in two Star Wars movies.,False,1,False,True,N/A,N/A
The action in the 2006 movie Babel takes place in four countries. Which of these countries is not featured in the movie?,Egypt,4,The United States,Japan,Morocco,Egypt
"What is the name of the Japanese ship, involved in S.P.E.C.T.R.E.s evil scheme in the James Bond You Only Live Twice?",Ning-Po,2,Mu-San,Ning-Po,Feng-Li,Kong-Wu
At least twice an actor/actress has been nominated for a Razzie and an Oscar for the same performance. Who was the first actress to achieve this distinction?,Amy Irving,4,LIza Minelli,Judy Garland,Barbra Streisand,Amy Irving
Who portrays Ernst Stavro Blofeld in the 1969 movie On Her Majestys Secret Service?,Telly Savalas,3,John Gielgud,Lorne Greene,Telly Savalas,Peter Graves
Which of the following movies did Mandy Moore not appear in?,I Know What You Did Last Summer,1,I Know What You Did Last Summer,Saved,American Dreamz,A Walk to Remember
In which US state is the active Mount Rainier volcano located?,Washington,3,Michigan,Ohio,Washington,New York
Did Colonel Billy Mitchell appear in a Walt Disney full length animated film?,Yes,2,No,Yes,N/A,N/A
"In the movie Sleepers, Michael Sullivan took on the case for the prosecution against his friends because he wanted to get back at the guards at the Wilkinson Home for boys.",True,2,False,True,N/A,N/A
"What 1995 movie is this quote from: You ever watched a man die? If you watch very closely, you can sometimes see the soul escaping. And if youre very quick, you can catch it.?",Lord of Illusions,3,Candyman,Needful Things,Lord of Illusions,Body Snatchers
Which one of the following singers gave us the massive hit song from 1983 called Total Eclipse of the Heart.,Bonnie Tyler,2,Jane Child,Bonnie Tyler,Madonna,Kim Carnes
What name does the mouse think belongs to Thomas OMalley in the film The Aristocats?,All of these,2,OBrien,All of these,OGrady,OToole
What did vocalist Chester Bennington miss in order to audition for Linkin Park?,His Birthday party,4,His wedding,The birth of his son,Tattoo appointment,His Birthday party
"Strictly 4 My N.I.G.G.A.Z. went gold, but not platinum.",False,1,False,True,N/A,N/A
"Which American rock band was formed by Mark Farner, Don Brewer and Mel Schacher in 1969?",Grand Funk Railroad,3,Eagles,The Rolling Stones,Grand Funk Railroad,The Doobie Brothers
"Which of the following states has an official motto In God we trust, which is also the official motto of the United States of America?",Florida,4,Georgia,Washington,South Dakota,Florida
"Often regarded as the father of Russian classical music, he wrote the operas, A Life for the Tsar and Ruslan and Lyudmila.",Michail Glinka,1,Michail Glinka,Alexander Borodin,Tchaikovsky,Alexander Dargomizhsky
"In the musical Les Miserables, which character sings the solo I Dreamed a Dream?",Fantine,3,Marius,Cossette,Fantine,Jean Valjean
What is written on a sign near Sheks home in the 2001 animated comedy movie Shrek?,Beware the Ogre!,4,"Home, Smelly Home",Welcome To My Dirty Estate!,Dont Wipe Your Feet,Beware the Ogre!
"What song contains the lyrics, Ive got a lot to say to you, yeah i got a lot to say?",Crushcrushcrush,1,Crushcrushcrush,Pressure,Misery buisness,Emergency
"For much of the 1960s, Misty was the theme song for this TV show.",Today,1,Today,The Johnny Mathis Show,American Bandstand,The Red Skelton Show
How many albums did Prince release between 1978 and 2000?,33,4,13,23,29,33
In what US city was Stevie Wonder born?,Saginaw,4,Detroit,Chicago,Cleveland,Saginaw
"What comes after these lines from Marc Anthony and Tina Arenas song I Want To Spend My Lifetime Loving You: Save the night, save the day, save the love, come what may...",... Love is worth everything we pay.,3,... Even if we are not here to stay.,... Love will always find a way.,... Love is worth everything we pay.,... Heaven knows what can happen in a day.
"What country singer made his debut in 1989 and has hits such as a A Better Man(1989), Nobodys Home (1990), Put Yourself In My Shoes(1990), Loving Blind(1991)?",Clint Black,2,Mark Chesnutt,Clint Black,Trace Adkins,Kenny Chesney
Mel Gibson played Gabriel in the movie The Patriot.,False,1,False,True,N/A,N/A
"The Battle of Ap Bac, the Battle of Dak To, and the Battle of Hamburger Hill.",Vietnam War,3,Korean War,Ogaden War,Vietnam War,Indonesia-Malaysia confrontation
"How many commas are there in the written version of the song, Good Morning to All?",4,3,2,5,4,3
"During the Russian Revolution of 1917, which city was capital of Russia?",Saint Petersburg,3,Volgograd,Kiev,Saint Petersburg,Moscow
Who is the driver of the limo Rosa enters in the movie 21?,An accomplice of Williams,4,Ben Campbell,Tom Cruise,A random limo driver,An accomplice of Williams
"This 1994 movie starred Tommy Lee Jones, Robert Downey Jr. and Juliette Lewis.",Natural Born Killers,4,Cape Fear,The Fugitive,Gun Crazy,Natural Born Killers
"James Taylors song  Fire and Rain  tells of the death of a close friend, his struggles with drugs and his depression at the disbandment of a musical group in which he was part.  What was the name of  the musical group mentioned in this song?",Flying Machine,2,Fire and Rain,Flying Machine,Susanne,Sweet Dreams
Which of these artists is known for the song This Cowboys Hat?,Chris LeDoux,2,Alan Jackson,Chris LeDoux,Vince Gill,George Strait
"At the 50th Academy Awards ceremony in 1978, this 1977 movie was the winner in the Best Picture category.",Annie Hall,3,The Goodbye Girl,Julia,Annie Hall,Star Wars
Which of these great operas was not composed by Mozart?,Tosca,2,Cosi fan Tutti,Tosca,Le Nozze di Figaro,Don Giovanni
What was the budget for the movie The Shawshank Redemption?,"$ 25,000,000",4,"$3,000,000","$ 100,000","$ 10,000,000","$ 25,000,000"
Which of the following musicals was written by Andrew Lloyd Weber?,All of these,1,All of these,Cats,Phantom of the Opera,Starlight Express
The Jimi Hendrix Experience played at the Woodstock Festival.,False,2,True,False,N/A,N/A
A major third consists of how many half-steps?,4 half-steps (4 semi-tones).,1,4 half-steps (4 semi-tones).,5 half-steps (5 semi-tones).,2 half-steps (2 semi-tones).,3 half-steps (3 semi-tones).
What girl group had a number one hit with Mama Said Thered Be Days Like This?,The Shirelles,2,The Teddy Bears,The Shirelles,The Crystals,The Shangrilas
Finish this line from the first single by Marcy Playground: I smell sex and __.,candy,2,sugar,candy,sweat,heat
Boogie Oogie Oogie was released by Taste of Honey in 1976.,False,2,True,False,N/A,N/A
"Mount Vesuvius, that is notorious for the destruction of two Roman cities in the year 79, was linked most closely to which hero and demigod?",Hercules,4,Asclepius,Apollo,Zeus,Hercules
The commander of the Unions 24th Massachusetts Colored Infantry was Colonel Robert Gould Shaw.,False,1,False,True,N/A,N/A
Which album did Michael Jackson release in 1987?,Bad,4,Thriller,HIStory,Dangerous,Bad
Who is the author of the musical theme of the movie?,Paul Anka,2,Phillip Glass,Paul Anka,Maurice Jarre,John Williams
"At the beginning of the film The Pursuit of Happyness, what does Chris do for a living?",He sells bone density scanners.,3,He repairs medical equipment.,He sells Metalife door to door.,He sells bone density scanners.,He sells CAT scan machines.
